判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
1806,1806,冠軍,-1.45,-0.23,23.22,7.62,0,0,1,1,2,-1
4916,4916,事欣科,3.93,1.53,20.8,5.45,0,1,1,1,3,1
1463,1463,強盛,9.71,1.33,28.09,8.09,0,1,1,1,3,1
3041,3041,揚智,-9.71,-1.52,30.64,8.2,0,0,1,1,2,-1
1532,1532,勤美,8.01,2.47,25.18,5.63,0,1,1,1,3,1
2527,2527,宏璟,7.3,2.45,37.7,7.56,0,1,1,1,3,1
1338,1338,廣華-KY,6.78,5.62,24.05,6.63,0,1,1,1,3,1
1432,1432,大魯閣,-16.24,-1.41,73.41,6.3,0,0,1,1,2,-1
4942,4942,嘉彰,8.64,4.39,22.1,6.31,0,1,1,1,3,1
1540,1540,喬福,3.83,0.64,22.37,5.1,0,1,1,1,3,1
2545,2545,皇翔,9.43,3.22,38.8,7.04,0,1,1,1,3,1
1316,1316,上曜,4.27,0.66,23.2,5.41,0,1,1,1,3,1
3376,3376,新日興,8.93,6.63,23.49,5.05,0,1,1,1,3,1
4943,4943,康控-KY,-10.08,-0.59,27.79,16.12,0,0,1,1,2,-1
9912,9912,偉聯,-4.54,-0.44,32.47,18.33,0,0,1,1,2,-1
8039,8039,台虹,9.69,3.4,21.95,6.07,0,1,1,1,3,1
8473,8473,山林水,5.82,2.13,22.43,6.17,0,1,1,1,3,1
4562,4562,穎漢,-1.65,-0.15,30.95,7.84,0,0,1,1,2,-1
2536,2536,宏普,4.09,1.45,27.4,6.03,0,1,1,1,3,1
4564,4564,元翎,9.51,2.19,28.8,6.0,0,1,1,1,3,1
2501,2501,國建,7.55,1.51,23.74,7.0,0,1,1,1,3,1
3501,3501,維熹,8.78,4.27,25.36,6.35,0,1,1,1,3,1
6168,6168,宏齊,6.95,0.97,21.75,5.91,0,1,1,1,3,1
1102,1102,亞泥,9.81,4.05,24.67,6.29,0,1,1,1,3,1
2393,2393,億光,6.94,2.71,24.6,6.16,0,1,1,1,3,1
2911,2911,麗嬰房,-5.97,-0.65,44.02,11.47,0,0,1,1,2,-1
5907,5907,大洋-KY,2.15,1.17,73.87,9.66,0,1,1,1,3,1
2340,2340,台亞,8.63,1.58,30.33,5.08,0,1,1,1,3,1
1806,1806,冠軍,-1.45,-0.23,23.22,7.62,0,0,1,1,2,-1
4916,4916,事欣科,3.93,1.53,20.8,5.45,0,1,1,1,3,1
1463,1463,強盛,9.71,1.33,28.09,8.09,0,1,1,1,3,1
3041,3041,揚智,-9.71,-1.52,30.64,8.2,0,0,1,1,2,-1
1532,1532,勤美,8.01,2.47,25.18,5.63,0,1,1,1,3,1
2527,2527,宏璟,7.3,2.45,37.7,7.56,0,1,1,1,3,1
1338,1338,廣華-KY,6.78,5.62,24.05,6.63,0,1,1,1,3,1
1432,1432,大魯閣,-16.24,-1.41,73.41,6.3,0,0,1,1,2,-1
4942,4942,嘉彰,8.64,4.39,22.1,6.31,0,1,1,1,3,1
1540,1540,喬福,3.83,0.64,22.37,5.1,0,1,1,1,3,1
2545,2545,皇翔,9.43,3.22,38.8,7.04,0,1,1,1,3,1
1316,1316,上曜,4.27,0.66,23.2,5.41,0,1,1,1,3,1
3376,3376,新日興,8.93,6.63,23.49,5.05,0,1,1,1,3,1
4943,4943,康控-KY,-10.08,-0.59,27.79,16.12,0,0,1,1,2,-1
9912,9912,偉聯,-4.54,-0.44,32.47,18.33,0,0,1,1,2,-1
8039,8039,台虹,9.69,3.4,21.95,6.07,0,1,1,1,3,1
8473,8473,山林水,5.82,2.13,22.43,6.17,0,1,1,1,3,1
4562,4562,穎漢,-1.65,-0.15,30.95,7.84,0,0,1,1,2,-1
2536,2536,宏普,4.09,1.45,27.4,6.03,0,1,1,1,3,1
4564,4564,元翎,9.51,2.19,28.8,6.0,0,1,1,1,3,1
2501,2501,國建,7.55,1.51,23.74,7.0,0,1,1,1,3,1
3501,3501,維熹,8.78,4.27,25.36,6.35,0,1,1,1,3,1
6168,6168,宏齊,6.95,0.97,21.75,5.91,0,1,1,1,3,1
1102,1102,亞泥,9.81,4.05,24.67,6.29,0,1,1,1,3,1
2393,2393,億光,6.94,2.71,24.6,6.16,0,1,1,1,3,1
2911,2911,麗嬰房,-5.97,-0.65,44.02,11.47,0,0,1,1,2,-1
5907,5907,大洋-KY,2.15,1.17,73.87,9.66,0,1,1,1,3,1
2340,2340,台亞,8.63,1.58,30.33,5.08,0,1,1,1,3,1
