代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,答案
3312,弘憶股,9.12,1.04,4.92,3.42,-1
3149,正達,-7.51,-0.57,-0.35,3.27,-1
2434,統懋,-31.59,-1.73,-28.21,0.0,-1
1709,和益,7.17,1.14,16.75,4.36,-1
1460,宏遠,-3.22,-0.26,16.04,4.94,-1
2371,大同,-17.63,-0.47,12.53,0.0,-1
6225,天瀚,-159.53,-0.1,-67.76,0.0,-1
2038,海光,0.71,0.2,2.22,3.16,-1
6598,ABC-KY,-47.61,-3.69,50.63,0.0,-1
6117,迎廣,-4.85,-0.5,16.15,2.69,-1
3504,揚明光,-1.04,-0.31,19.01,1.26,-1
2387,精元,7.13,2.65,13.33,3.79,-1
2328,廣宇,8.46,1.75,9.52,2.66,-1
8222,寶一,-0.81,-0.07,11.05,2.45,-1
1455,集盛,2.9,0.38,4.09,3.88,-1
1528,恩德,-0.13,-0.02,26.65,1.83,-1
2390,云辰,6.63,1.06,17.01,2.46,-1
3013,晟銘電,3.89,0.48,8.94,2.14,-1
1456,怡華,8.39,1.28,19.49,1.81,-1
2443,昶虹,-32.98,-1.98,-9.78,0.0,-1
1540,喬福,3.83,0.64,22.37,5.1,-1
9955,佳龍,-6.44,-1.1,0.55,3.75,-1
6625,必應,-1.56,-0.28,12.81,1.51,-1
1467,南緯,-1.46,-0.16,20.02,3.39,-1
2323,中環,-0.23,0.01,13.57,2.59,-1
3311,閎暉,-3.42,-1.21,13.3,3.85,-1
2642,宅配通,8.5,1.67,16.43,2.58,-1
1218,泰山,9.53,1.22,17.74,2.52,-1
1321,大洋,3.18,0.9,6.71,0.94,-1
4426,利勤,2.7,0.6,10.89,1.6,-1
3055,蔚華科,-2.11,-0.56,17.86,2.05,-1
2380,虹光,-20.98,-1.88,21.49,1.25,-1
3011,今皓,-4.24,-0.44,10.39,0.25,-1
2440,太空梭,5.76,0.5,7.42,1.0,-1
2329,華泰,2.23,0.35,7.67,1.29,-1
1438,三地開發,1.37,0.15,-95.74,0.0,-1
2342,茂矽,1.96,0.33,18.34,0.61,-1
1418,東華,-60.82,-4.53,-113.93,0.0,-1
1503,士電,6.69,2.97,18.56,2.51,-1
3593,力銘,-10.66,-0.79,9.22,5.28,-1
6405,悅城,2.07,0.65,18.65,3.74,-1
2007,燁興,-4.56,-0.48,1.87,0.36,-1
1229,聯華,10.09,2.66,20.74,3.05,-1
3536,誠創,-35.53,-1.17,6.74,0.0,-1
1457,宜進,8.16,1.89,11.57,3.89,-1
2032,新鋼,3.75,0.49,5.59,2.26,-1
1413,宏洲,7.79,0.56,4.13,0.0,-1
1531,高林股,2.28,0.47,18.67,3.38,-1
1512,瑞利,-71.55,-1.47,3.53,6.12,-1
9919,康那香,7.8,1.11,19.46,4.41,-1
2913,農林,-0.96,-0.17,38.11,2.36,-1
1449,佳和,-7.07,-0.34,7.13,0.0,-1
1213,大飲,-9.02,-0.89,4.96,0.0,-1
2528,皇普,-2.7,-0.24,25.89,0.99,-1
1220,台榮,5.92,0.74,13.71,4.44,-1
2206,三陽工業,9.65,1.86,18.01,3.1,-1
8072,陞泰,-0.63,-0.28,15.1,1.42,-1
3622,洋華,3.27,0.94,16.44,2.73,-1
1805,寶徠,-8.24,-0.61,14.47,0.83,-1
8443,阿瘦,-8.5,-1.63,53.68,2.29,-1
5225,東科-KY,4.51,1.22,10.41,3.09,-1
2399,映泰,4.17,0.41,12.95,4.98,-1
1568,倉佑,4.54,0.69,12.8,1.76,-1
2430,燦坤,6.91,2.01,15.5,3.58,-1
3308,聯德,-9.7,-0.87,4.96,0.99,-1
1453,大將,6.38,0.84,-3.3,0.0,-1
6120,達運,-2.87,-0.41,3.06,4.18,-1
2413,環科,-3.33,-0.43,15.14,0.86,-1
2406,國碩,-16.37,-2.67,6.73,2.41,-1
1519,華城,7.77,1.0,14.05,1.99,-1
4104,佳醫,6.93,3.81,19.67,4.89,-1
1721,三晃,4.47,0.48,7.34,1.66,-1
2465,麗臺,7.45,1.21,14.31,0.67,-1
3686,達能,-29.97,-2.1,-49.39,1.52,-1
2364,倫飛,-16.2,-0.13,25.9,0.21,-1
2349,錸德,-10.62,-1.19,9.03,0.0,-1
6209,今國光,-3.93,-0.85,5.26,3.1,-1
6153,嘉聯益,2.65,0.67,12.86,0.81,-1
1337,再生-KY,-11.37,-3.06,-24.86,3.47,-1
2515,中工,3.98,0.55,7.97,2.94,-1
