判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
5706,11.23,2.0,19.6,2.0,-1,5706
6278,14.39,6.5,11.19,3.22,-1,6278
2247,10.21,12.79,11.81,4.59,-1,2247
9937,15.09,2.44,11.49,4.2,-1,9937
2301,11.79,3.78,15.46,3.67,-1,2301
9930,15.71,3.19,15.57,4.03,-1,9930
2351,11.94,3.56,17.99,2.02,-1,2351
6416,15.27,4.72,19.95,3.21,-1,6416
2352,13.25,2.66,13.25,4.79,-1,2352
4967,12.35,1.8,7.04,3.58,-1,4967
4915,14.84,4.6,12.2,4.07,-1,4915
5285,13.56,3.47,17.24,3.89,-1,5285
2313,15.24,3.29,16.66,2.53,-1,2313
9931,10.13,1.91,18.19,2.9,-1,9931
1225,10.42,1.53,9.28,2.57,-1,1225
6285,10.64,4.33,11.87,3.44,-1,6285
1315,13.36,7.55,16.17,4.41,-1,1315
5288,19.29,8.55,18.21,2.78,-1,5288
1210,12.03,3.05,13.62,4.11,-1,1210
6141,13.18,2.14,17.38,2.18,-1,6141
6669,48.52,36.97,6.81,2.62,-1,6669
1808,17.52,3.44,19.95,4.49,-1,1808
1615,14.56,2.24,13.05,4.24,-1,1615
2006,10.32,2.73,12.22,4.41,-1,2006
2012,11.96,1.56,16.37,3.95,-1,2012
6282,10.91,1.83,15.41,3.6,-1,6282
9914,18.33,9.13,13.3,2.4,-1,9914
6552,11.43,2.59,18.75,4.14,-1,6552
9935,13.16,1.36,18.58,2.56,-1,9935
8215,11.47,1.54,15.84,2.74,-1,8215
3596,11.5,6.33,13.57,4.11,-1,3596
8454,27.85,12.25,10.09,1.42,-1,8454
4439,23.37,12.12,17.48,3.39,-1,4439
6196,14.98,5.01,11.28,2.68,-1,6196
1309,18.21,2.76,11.11,4.24,-1,1309
3010,14.31,7.62,8.27,4.62,-1,3010
2345,33.7,7.29,19.57,1.98,-1,2345
4927,12.9,4.81,17.59,4.59,-1,4927
5434,18.27,9.44,12.13,3.99,-1,5434
1232,25.42,6.54,11.65,3.45,-1,1232
9802,13.25,6.0,19.3,1.4,-1,9802
